date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-11-09,sh.600000,6.7700,6.8200,6.7700,6.7900,6.7900,13127494,89138502.1700,3,0.044700,1,0.000000,0
2022-11-10,sh.600000,6.7500,6.8000,6.7400,6.7800,6.7900,12601008,85330918.6600,3,0.042900,1,-0.147300,0
2022-11-11,sh.600000,6.8300,6.9800,6.8300,6.9400,6.7800,40237053,277525770.2600,3,0.137100,1,2.359900,0
2022-11-14,sh.600000,6.9800,7.0900,6.9600,7.0300,6.9400,43777420,308265880.9900,3,0.149100,1,1.296800,0
2022-11-15,sh.600000,7.0100,7.0900,7.0000,7.0600,7.0300,25212063,177876453.1200,3,0.085900,1,0.426700,0
2022-11-16,sh.600000,7.0300,7.0600,7.0100,7.0300,7.0600,17398102,122332873.4700,3,0.059300,1,-0.424900,0
2022-11-17,sh.600000,7.0200,7.0200,6.9500,6.9800,7.0300,22026825,153691239.7200,3,0.075000,1,-0.711200,0
2022-11-18,sh.600000,6.9900,7.0000,6.9100,6.9100,6.9800,22662930,157460686.0300,3,0.077200,1,-1.002900,0
2022-11-21,sh.600000,6.9000,6.9100,6.8300,6.8800,6.9100,22374965,153475265.8300,3,0.076200,1,-0.434200,0
2022-11-22,sh.600000,6.8900,7.0400,6.8900,7.0200,6.8800,33424530,233200479.2600,3,0.113900,1,2.034900,0
2022-11-23,sh.600000,7.0100,7.1200,6.9900,7.0500,7.0200,36694389,259475308.3800,3,0.125000,1,0.427400,0
2022-11-24,sh.600000,7.0600,7.1400,7.0300,7.0300,7.0500,21534531,152263201.7300,3,0.073400,1,-0.283700,0
2022-11-25,sh.600000,7.0400,7.1800,7.0400,7.1700,7.0300,43033799,307087081.8100,3,0.146600,1,1.991500,0
2022-11-28,sh.600000,7.1000,7.1000,6.9800,7.0700,7.1700,37873189,266592726.1100,3,0.129000,1,-1.394700,0
2022-11-29,sh.600000,7.1000,7.3000,7.0800,7.2700,7.0700,68171227,492975278.3000,3,0.232300,1,2.828900,0
